Name,Affiliation
Martin Modrák,"Institute of Microbiology of the Czech Academy of Sciences, Prague, Czech Republic"
Paul-Christian Bürkner,"University of Stuttgart, Germany"
Tomáš Sieger,"Dept. of Cybernetics, Faculty of Electrical Engineering, Czech Technical University in Prague, Czech Republic"
Tomáš Slisz,"Thomayer Hospital, Prague, Czech Republic"
Martina Vašáková,"Thomayer Hospital, Prague, Czech Republic"
Grigorij Mesežnikov,"Motol University Hospital, Prague, Czech Republic"
Luis Fernando Casas-Mendez,"Motol University Hospital, Prague, Czech Republic"
Jaromír Vajter,"Motol University Hospital, Prague, Czech Republic"
Jan Táborský,"AGEL Hospital Nový Jičín, Nový Jičín, Czech Republic"
Viktor Kubricht,"University Hospital Vinohrady, Prague, Czech Republic"
Daniel Suk,"General University Hospital in Prague, Czech Republic"
Jan Horejsek,"General University Hospital in Prague, Czech Republic"
Martin Jedlička,"Military Hospital Olomouc, Olomouc, Czech Republic"
Adriana Mifková,"Military Hospital Olomouc, Olomouc, Czech Republic"
Adam Jaroš,"Na Homolce Hospital, Prague, Czech Republic"
Miroslav Kubiska,"Department of Infectious Diseases and Travel Medicine, University Hospital in Pilsen, Pilsen, Czech Republic"
Jana Váchalová,"Department of Infectious Diseases and Travel Medicine, University Hospital in Pilsen, Pilsen, Czech Republic"
Robin Šín,"Department of Infectious Diseases and Travel Medicine, University Hospital in Pilsen, Pilsen, Czech Republic"
Markéta Veverková,"Hořovice Hospital, Hořovice, Czech Republic"
Zbyšek Pospíšil,"Hospital Třebíč, Třebíč, Czech Republic"
Julie Vohryzková,"2nd Faculty of Medicine, Charles University in Prague"
Rebeka Pokrievková,"2nd Faculty of Medicine, Charles University in Prague"
Kristián Hrušák,"2nd Faculty of Medicine, Charles University in Prague"
Kristína Christozova,"2nd Faculty of Medicine, Charles University in Prague"
Vianey Leos-Barajas,"Department of Statistical Sciences, University of Toronto"
Karel Fišer,"Department of Bioinformatics, 2nd Faculty of Medicine, Charles University in Prague"
Tomáš Hyánek,"Na Homolce Hospital, Prague, Czech Republic"
