hypothesis,model,adjusted,estimand,widest_CI_excl_reference,point_estimate,ci_low,ci_high,model_check,data_version
hcq_reduces_death,HMM,supportive,log(HR),0.9995,-2.018550296820314,-3.6583721438507943,-0.7234400023866137,OK,3111cfb07a25fb126f198578e47b9267
hcq_increases_discharged,HMM,supportive,log(HR),0.54,0.14410202948645373,-0.23085543888587187,0.5244852322844162,OK,3111cfb07a25fb126f198578e47b9267
hcq_reduces_death,HMM,"age, sex, supportive",log(HR),0.9975,-2.023968481414773,-3.7484524544881976,-0.6631092337233724,OK,3111cfb07a25fb126f198578e47b9267
hcq_increases_discharged,HMM,"age, sex, supportive",log(HR),0.28049999999999997,0.06877771280747677,-0.3047645651475115,0.4460617001492609,OK,3111cfb07a25fb126f198578e47b9267
hcq_reduces_death,HMM,"age, sex, supportive, hospital",log(HR),0.9884999999999999,-1.8510316639863118,-3.5029828557997624,-0.4178453186011206,OK,3111cfb07a25fb126f198578e47b9267
hcq_increases_discharged,HMM,"age, sex, supportive, hospital",log(HR),0.363,0.09514972802320354,-0.30171786338114454,0.49001429484634107,OK,3111cfb07a25fb126f198578e47b9267
hcq_reduces_death,HMM,"age, sex, supportive, hospital, az",log(HR),0.9984999999999999,-1.922275230215352,-4.270157439353749,-0.3439714128418128,OK,3111cfb07a25fb126f198578e47b9267
hcq_increases_discharged,HMM,"age, sex, supportive, hospital, az",log(HR),0.496,-0.28829960558248247,-0.8104386402306769,0.36292164592287046,OK,3111cfb07a25fb126f198578e47b9267
az_reduces_death,HMM,"age, sex, supportive, hospital, hcq",log(HR),0.9410000000000001,1.4997770054391273,-0.07451483286998212,3.4502142520879735,OK,3111cfb07a25fb126f198578e47b9267
az_increases_discharged,HMM,"age, sex, supportive, hospital, hcq",log(HR),0.3125,0.052156496795216084,-0.7356590695564897,0.8249132383468847,OK,3111cfb07a25fb126f198578e47b9267
hcq_reduces_death,HMM,"age, sex, supportive, hospital, comorbidities_sum",log(HR),0.9950000000000001,-1.9324544655080214,-3.680946568585537,-0.5178957945701224,OK,3111cfb07a25fb126f198578e47b9267
hcq_increases_discharged,HMM,"age, sex, supportive, hospital, comorbidities_sum",log(HR),0.4595,0.12050558914269004,-0.2704611010506179,0.5151547168495685,OK,3111cfb07a25fb126f198578e47b9267
d_dimer_increases_death,HMM,"age, sex, hospital",log(HR),0.9970000000000001,-1.0949706313840908,-2.8025353856403274,-0.18293217632548656,OK,3111cfb07a25fb126f198578e47b9267
IL_6_increases_death,HMM,"age, sex, hospital",log(HR),0.728,-1.4957970822347977,-5.164622799984437,0.5291157717951894,OK,3111cfb07a25fb126f198578e47b9267
